path,label
face_crops/neutral/neutral_6799.jpg,2
face_crops/neutral/neutral_0257.jpg,2
face_crops/neutral/neutral_3317.jpg,2
face_crops/neutral/neutral_1187.jpg,2
face_crops/neutral/neutral_3571.jpg,2
face_crops/neutral/neutral_0071.jpg,2
face_crops/neutral/neutral_4033.jpg,2
face_crops/neutral/neutral_3205.jpg,2
face_crops/neutral/neutral_6078.jpg,2
face_crops/neutral/neutral_4994.jpg,2
face_crops/neutral/neutral_4997.jpg,2
face_crops/neutral/neutral_4819.jpg,2
face_crops/neutral/neutral_5210.jpg,2
face_crops/neutral/neutral_2874.jpg,2
face_crops/neutral/neutral_0641.jpg,2
face_crops/neutral/neutral_5149.jpg,2
face_crops/neutral/neutral_2200.jpg,2
face_crops/neutral/neutral_5146.jpg,2
face_crops/neutral/neutral_7531.jpg,2
face_crops/neutral/neutral_1164.jpg,2
face_crops/neutral/neutral_4609.jpg,2
face_crops/neutral/neutral_5393.jpg,2
face_crops/neutral/neutral_4292.jpg,2
face_crops/neutral/neutral_6886.jpg,2
face_crops/neutral/neutral_2775.jpg,2
face_crops/neutral/neutral_2804.jpg,2
face_crops/neutral/neutral_4794.jpg,2
face_crops/neutral/neutral_1152.jpg,2
face_crops/neutral/neutral_2440.jpg,2
face_crops/neutral/neutral_0805.jpg,2
face_crops/neutral/neutral_2483.jpg,2
face_crops/neutral/neutral_2083.jpg,2
face_crops/neutral/neutral_7648.jpg,2
face_crops/neutral/neutral_3912.jpg,2
face_crops/neutral/neutral_2100.jpg,2
face_crops/neutral/neutral_1955.jpg,2
face_crops/neutral/neutral_0956.jpg,2
face_crops/neutral/neutral_1124.jpg,2
face_crops/neutral/neutral_7683.jpg,2
face_crops/neutral/neutral_4919.jpg,2
face_crops/neutral/neutral_7682.jpg,2
face_crops/neutral/neutral_8066.jpg,2
face_crops/neutral/neutral_6977.jpg,2
face_crops/neutral/neutral_0218.jpg,2
face_crops/neutral/neutral_2765.jpg,2
face_crops/neutral/neutral_5333.jpg,2
face_crops/neutral/neutral_4234.jpg,2
face_crops/neutral/neutral_6030.jpg,2
face_crops/neutral/neutral_3202.jpg,2
